expediere trimitere
expiere ispășire
reînnoire reabilitare
reabilitare reînnoire
succes triumf
mărgărită margaretă
margaretă mărgărită
bufniță buhă
buhă bufniță
articulație încheietură
hectar ha
cizmar pantofar
farmacie potică
farmacie spițerie
potică spițerie
chestiune întrebare
teanc vraf
scripcă vioară
scripcă violină
vioară violină
violină vioară
culme vârf
chil kilo
chil kilogram
replică reproducere
reproducere replică
capelă paraclis
rabie turbare
ambulanță salvare
apă h2o
cerc inel
cler preoție
față pagină
topitorie turnătorie
turnătorie topitorie
intestin maț
argilă humă
aripă aripioară
aripioară aripă
cochetărie flirt
cochetărie tachinare
flirt tachinare
locomotivă mașină
geneză origine
amiciție prietenie
foame sete
cârpă scutec
cordialitate ospitalitate
mamelon nur
mamelon sfârc
nur sfârc
explozibil exploziv
exploziv explozibil
preajmă împrejurime
vecinătate împrejurime
preajmă vecinătate
fe fier
fier fe
acoperământ acoperiș
acoperiș acoperământ
ierbar rumen
exercițiu repetiție
arzător injector
nădrag pantalon
țigară țigaretă
țigaretă țigară
ventrilică ventricea
cer firmament
abatere excepție
coșciug raclă
coșciug sicriu
raclă sicriu
cioc clonț
cioc plisc
clonț cioc
clonț plisc
galerie tunel
mouse șoarec
mouse șoarece
clavir pian
clavir pianoforte
banalitate clișeu
banalitate platitudine
clișeu platitudine
geantă mapă
geantă servietă
mapă servietă
sacrament taină
șervet ștergar
prosop șervet
ștergar șervet
prosop ștergar
botgros cireșar
stâncă stană
stană stâncă
troleibuz troleu
troleu troleibuz
foarfecă foarfece
foarfece foarfecă
clică coterie
clică gașcă
coterie clică
coterie gașcă
corn croasant
croasant corn
cimilitură ghicitoare
blendă diafragmă
megafon portavoce
bărbie barbă
barbă bărbie
cat etaj
cat nivel
etaj nivel
cartilaj zgârci
sabie spadă
spadă sabie
bac feribot
samur zibelină
convoi marș
convoi procesiune
marș procesiune
caiac canoe
canoe caiac
incompatibilitate nepotrivire
bourel culbec
bourel melc
culbec melc
vorbă zvon
havană trabuc
atracție șarm
farmec șarm
atracție farmec
stație stațiune
stațiune stație
nume poreclă
poreclă supranume
secret taină
baie cadă
baie vană
cadă vană
bătrân vârstnic
roză trandafir
floarea-soarelui sora-soarelui
chelner ospătar
barcagiu lopătar
barcagiu luntraș
barcagiu vâslaș
lopătar luntraș
lopătar vâslaș
luntraș lopătar
luntraș vâslaș
ftizie tuberculoză
invitat musafir
invitat oaspete
musafir oaspete
bolid meteor
inorog licorn
buric ombilic
lăutar scripcar
lăutar violonist
lăutar viorist
scripcar violonist
scripcar viorist
violonist viorist
viorist violonist
lipsă mizerie
lipsă nevoie
lipsă sărăcie
mizerie nevoie
mizerie sărăcie
nevoie sărăcie
dentist stomatolog
gripă influență
demonstrant manifestant
curier poștaș
eretic schismatic
lujer tulpină
anotimp sezon
grandomanie megalomanie
văr verișor
verișor văr
țesătoare țesător
țesător țesătoare
fabricant industriaș
ginere mire
gravitație gravitate
gravitate gravitație
bunică mamă-mare
bunică mamaie
mamă-mare mamaie
mamaie mamă-mare
gută podagră
năprasnică priboi
actualitate contemporaneitate
actualitate prezent
contemporaneitate prezent
expeditor trimițător
manechin model
model manechin
călugăr monah
crainic curier
crainic mesager
crainic sol
crainic vestitor
curier crainic
curier mesager
curier sol
curier vestitor
mesager sol
mesager vestitor
sol vestitor
casnică gospodină
lavandă levănțică
levănțică lavandă
călugăriță maică
călugăriță monahie
maică monahie
monahie maică
amiază prânz
erou protagonist
fățarnic fals
fățarnic ipocrit
fățarnic prefăcut
fals fățarnic
fals ipocrit
fals prefăcut
ipocrit prefăcut
combatant militant
călău gâde
coridor culoar
coridor gang
culoar coridor
culoar gang
vifor viscol
viforniță viscol
viscol vifor
viscol viforniță
istoric istoriograf
istoriograf istoric
mătușă tanti
pălămar paracliser
paracliser pălămar
ninsoare zăpadă
pietriș prund
pietriș prundiș
prund pietriș
prundiș pietriș
rom țigan
agresor atacant
atacant agresor
malarie paludism
grindină piatră
polarizație polarizare
polarizare polarizație
dafin laur
contuzie vânătaie
domn gentleman
șiret șmecher
viclean șiret
șmecher șiret
viclean șmecher
